row,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst
radius_mean,1,0.323781891,0.997855281,0.98735717,0.170581187,0.506123578,0.67676355,0.822528522,0.147741242,-0.311630826,0.679090388,-0.097317443,0.674171616,0.735863663,-0.222600125,0.20599998,0.194203623,0.376168956,-0.104320881,-0.042641269,0.969538973,0.297007644,0.965136514,0.94108246,0.11961614,0.413462823,0.526911462,0.744214198,0.163953335,0.007065886
texture_mean,0.323781891,1,0.329533059,0.321085696,-0.023388516,0.236702222,0.302417828,0.293464051,0.07140098,-0.076437183,0.275868676,0.386357623,0.281673115,0.259844987,0.006613777,0.191974611,0.143293077,0.163851025,0.009127168,0.05445752,0.352572947,0.912044589,0.358039575,0.343545947,0.077503359,0.277829592,0.301025224,0.295315843,0.10500791,0.119205351
perimeter_mean,0.997855281,0.329533059,1,0.986506804,0.207278164,0.556936211,0.71613565,0.850977041,0.183027212,-0.261476908,0.691765014,-0.086761078,0.69313489,0.744982694,-0.202694026,0.250743681,0.228082345,0.407216916,-0.081629327,-0.005523391,0.969476363,0.303038372,0.970386887,0.941549808,0.150549404,0.455774228,0.563879263,0.771240789,0.18911504,0.05101853
area_mean,0.98735717,0.321085696,0.986506804,1,0.177028377,0.498501682,0.685982829,0.823268869,0.151293079,-0.283109812,0.732562227,-0.066280214,0.726628328,0.800085921,-0.166776667,0.212582551,0.20766006,0.372320282,-0.072496588,-0.019886963,0.962746086,0.287488627,0.959119574,0.959213326,0.123522939,0.390410309,0.51260592,0.722016626,0.143569914,0.003737597
smoothness_mean,0.170581187,-0.023388516,0.207278164,0.177028377,1,0.659123215,0.521983768,0.553695173,0.557774788,0.584792002,0.301467098,0.068406448,0.296091933,0.246552432,0.332375443,0.318943297,0.24839568,0.380675691,0.200774376,0.283606699,0.213120142,0.036071799,0.238852626,0.206718363,0.805324195,0.472468444,0.434925715,0.503053353,0.394309482,0.499316369
compactness_mean,0.506123578,0.236702222,0.556936211,0.498501682,0.659123215,1,0.88312067,0.831135043,0.602641048,0.565368663,0.497473446,0.046204831,0.548905265,0.455652852,0.135299268,0.73872179,0.570516871,0.642261851,0.229976591,0.507318127,0.535315398,0.248132833,0.590210428,0.509603806,0.565541166,0.86580904,0.81627525,0.815573224,0.51022343,0.687382323
concavity_mean,0.67676355,0.302417828,0.71613565,0.685982829,0.521983768,0.88312067,1,0.921391026,0.500666617,0.336783359,0.631924822,0.076218348,0.660390787,0.617426806,0.098563746,0.670278825,0.691270208,0.683259917,0.178009208,0.449300749,0.688236408,0.299878889,0.729564917,0.675987231,0.448822038,0.754968016,0.884102639,0.861323034,0.409464127,0.514929891
concave points_mean,0.822528522,0.293464051,0.850977041,0.823268869,0.553695173,0.831135043,0.921391026,1,0.462497388,0.166917383,0.698049834,0.021479582,0.710649872,0.69029854,0.027653308,0.49042425,0.439167068,0.615634131,0.095350787,0.257583746,0.830317631,0.292751713,0.855923128,0.80962962,0.452753054,0.667453677,0.752399498,0.910155314,0.375744145,0.368661134
symmetry_mean,0.147741242,0.07140098,0.183027212,0.151293079,0.557774788,0.602641048,0.500666617,0.462497388,1,0.47992133,0.303379263,0.128052926,0.313892761,0.223970219,0.187321165,0.421659147,0.342627023,0.393297872,0.449136542,0.331786146,0.185727753,0.090650688,0.219168559,0.177193377,0.426675026,0.473200013,0.433721008,0.430296611,0.699825798,0.438413498
fractal_dimension_mean,-0.311630826,-0.076437183,-0.261476908,-0.283109812,0.584792002,0.565368663,0.336783359,0.166917383,0.47992133,1,0.000110995,0.164173966,0.039829932,-0.090170248,0.401964425,0.559836691,0.446630322,0.341198044,0.345007397,0.688131577,-0.253691495,-0.051269202,-0.205151211,-0.231854451,0.504942075,0.458798157,0.346233876,0.175325449,0.334018684,0.767296779
